"bathy" "bathyrms" "slope" "aspect" "longitude" "latitude"
"128" -4368.25 218.459564209 24.419216156 185.290161133 233.5 30.25
"129" -4355.5 199.180374146 28.778137207 172.099975586 233.25 30.25
"130" -4315 123.108016968 30.4456119537 161.401855469 233 30.25
"131" -4348 96.4436416626 29.9743347168 178.057678223 232.75 30.25
"132" -4339 82.8604202271 30.1374206543 158.257843018 232.5 30.25
"133" -4359.5 88.8930587769 27.8951206207 204.161178589 232.25 30.25
"134" -4452.75 109.237121582 25.6709842682 214.577590942 232 30.25
"135" -4500 105.132156372 27.5283660889 197.928024292 231.75 30.25
"136" -4508.5 78.6067199707 26.7106609344 173.552398682 231.5 30.25
"137" -4494 150.377639771 32.3454208374 196.008483887 231.25 30.25
"138" -4527.75 89.6072463989 29.58385849 197.787261963 231 30.25
"139" -4559 91.5251083374 29.3332920074 177.033935547 230.75 30.25
"140" -4609.5 166.786590576 32.834400177 194.571777344 230.5 30.25
"141" -4626.125 195.981613159 36.0403671265 203.981063843 230.25 30.25
"142" -4566 271.926757812 60.060798645 158.660369873 230 30.25
"143" -4567.25 244.485519409 57.1221466064 164.70803833 229.75 30.25
"144" -4622 284.295959473 46.5904846191 195.821563721 229.5 30.25
"145" -4653.25 212.449325562 46.10987854 166.811401367 229.25 30.25
"146" -4598.5 104.287277222 44.4027633667 171.959472656 229 30.25
"147" -4578 83.1605300903 39.8403091431 165.915237427 228.75 30.25
"148" -4545 93.9850692749 30.7406024933 160.782073975 228.5 30.25
"149" -4567.5 114.745986938 26.1985015869 213.197250366 228.25 30.25
"150" -4619.25 78.3243255615 26.9035606384 228.447463989 228 30.25
"151" -4719 88.000289917 19.3355503082 205.566452026 227.75 30.25
"152" -4711 87.6958312988 21.868057251 117.117851257 227.5 30.25
"153" -4572.5 85.313911438 27.5114078522 124.480102539 227.25 30.25
"154" -4502.25 100.42073822 27.9177932739 171.478546143 227 30.25
"155" -4551 96.4478759766 30.7250595093 224.689376831 226.75 30.25
"156" -4649.25 97.060043335 28.523267746 187.5572052 226.5 30.25
"157" -4637.25 107.141403198 30.3231468201 161.731002808 226.25 30.25
"158" -4623.75 121.151725769 31.4598350525 158.64465332 226 30.25
"159" -4662 80.7125167847 25.6339092255 193.932006836 225.75 30.25
"160" -4740.625 101.015899658 24.1709442139 209.895294189 225.5 30.25
"161" -4825.75 189.851150513 36.7454071045 187.28276062 225.25 30.25
"162" -4845.25 94.5832061768 45.7009811401 155.357391357 225 30.25
"163" NA NA NA NA 245 30.5
"164" NA NA NA NA 244.75 30.5
"165" NA NA NA NA 244.5 30.5
"166" NA NA NA NA 244.25 30.5
"167" NA NA NA NA 244 30.5
"168" -675.625 564.762451172 61.6042861938 241.754821777 243.75 30.5
"169" -1592 508.71484375 87.0684280396 229.555221558 243.5 30.5
"170" -2082 210.370697021 68.5304794312 204.441268921 243.25 30.5
"171" -2077.5 475.014648438 65.8519134521 172.533828735 243 30.5
"172" -2193.5 504.124938965 69.969619751 188.179824829 242.75 30.5
"173" -2259.75 438.084106445 82.662651062 195.460235596 242.5 30.5
"174" -2505 315.657592773 78.1672134399 206.510162354 242.25 30.5
"175" -2762.125 130.597229004 45.1029129028 208.900436401 242 30.5
"176" -2968.375 138.255966187 35.7282447815 205.816299438 241.75 30.5
"177" -3034 118.539321899 35.7389183044 201.798019409 241.5 30.5
"178" -3196 325.947052002 48.9479789734 210.908752441 241.25 30.5
"179" -3492 225.049545288 53.8174209595 192.226150513 241 30.5
"180" -3646.5 307.027557373 42.3146934509 207.091369629 240.75 30.5
"181" -3817.75 336.662963867 36.0486755371 218.598983765 240.5 30.5
"182" -3941.75 84.1398239136 29.8080101013 180 240.25 30.5
"183" -3904 110.43624115 22.1651363373 172.036010742 240 30.5
"184" -3920.5 73.2110519409 20.0456752777 191.873962402 239.75 30.5
"185" -3900.5 81.3686981201 19.1270427704 133.927093506 239.5 30.5
"186" -3864.25 50.370388031 18.1526756287 153.814697266 239.25 30.5
"187" -3867 39.0665550232 19.279876709 164.707626343 239 30.5
"188" -3867 89.428314209 27.6375637054 201.253250122 238.75 30.5
"189" -3928.25 99.555015564 30.0057754517 211.021469116 238.5 30.5
"190" -3892.5 378.95324707 48.5020637512 153.101074219 238.25 30.5
"191" -4113.75 785.412353516 42.0464363098 208.907699585 238 30.5
"192" -4157 50.4762382507 23.3973274231 199.749511719 237.75 30.5
"193" -4058.5 198.026687622 42.9915046692 137.055282593 237.5 30.5
"194" -4031.5 972.794677734 67.0124206543 180 237.25 30.5
"195" -4118.75 185.959945679 65.4020767212 165.272583008 237 30.5
"196" -4061 603.007873535 63.5811004639 184.998916626 236.75 30.5
"197" -4116 85.5758743286 36.7160682678 201.086532593 236.5 30.5
"198" -4176.5 87.5437850952 25.4022293091 174.866363525 236.25 30.5
"199" -4210 65.827796936 19.8613929749 192.430236816 236 30.5
"200" -4213 46.007598877 24.2559986115 196.274337769 235.75 30.5
"201" -4257 88.1640014648 25.9970855713 201.272460938 235.5 30.5
"202" -4264 150.825531006 23.9093799591 148.114624023 235.25 30.5
"203" -4218 71.5275802612 24.5513343811 150.239181519 235 30.5
"204" -4195.5 47.2377471924 23.7220802307 175.264053345 234.75 30.5
"205" -4204 71.2653884888 29.0006580353 196.937225342 234.5 30.5
"206" -4247.5 149.665756226 26.3533763885 217.970504761 234.25 30.5
"207" -4360.875 139.273391724 31.1878986359 212.573989868 234 30.5
"208" -4364 346.991638184 53.6438064575 191.692047119 233.75 30.5
"209" -4377.25 134.03704834 25.5846748352 174.277664185 233.5 30.5
"210" -4341 46.3285636902 14.6284103394 117.290977478 233.25 30.5
"211" -4269.5 51.7341537476 17.5441608429 145.022033691 233 30.5
"212" -4258.5 87.8320159912 20.2843856812 192.577957153 232.75 30.5
"213" -4262 110.998680115 28.5397949219 182.428085327 232.5 30.5
"214" -4310.5 247.911437988 41.9855422974 195.835571289 232.25 30.5
"215" -4410 194.116287231 28.8066692352 207.462417603 232 30.5
"216" -4453.5 119.621688843 25.9871673584 189.945358276 231.75 30.5
"217" -4458.5 115.213890076 22.146282196 196.76802063 231.5 30.5
"218" -4455.875 104.49042511 25.4134140015 195.433151245 231.25 30.5
"219" -4547.375 122.247657776 27.666929245 190.34854126 231 30.5
"220" -4584.5 183.900802612 33.5660820007 171.14024353 230.75 30.5
"221" -4567.75 159.155944824 40.6584358215 187.436157227 230.5 30.5
"222" -4621.125 84.9633178711 33.720123291 188.248046875 230.25 30.5
"223" -4665 141.023223877 44.0884475708 147.013580322 230 30.5
"224" -4555.25 143.105239868 45.3140678406 160.989364624 229.75 30.5
"225" -4628 73.4077758789 34.0786705017 244.655578613 229.5 30.5
"226" -4665 79.4264678955 24.8387928009 173.385162354 229.25 30.5
"227" -4636.25 62.5560417175 21.1973648071 161.804595947 229 30.5
"228" -4606.5 63.0630760193 22.5589523315 155.702911377 228.75 30.5
"229" -4597.5 59.5731468201 18.2215442657 163.887390137 228.5 30.5
"230" -4583 41.8444442749 19.0029525757 217.126800537 228.25 30.5
"231" -4645 110.676445007 26.4361286163 229.235702515 228 30.5
"232" -4770 77.8037338257 21.2290210724 206.684265137 227.75 30.5
"233" -4755 83.3761978149 23.0412635803 135.751953125 227.5 30.5
"234" -4664 131.562149048 28.8477134705 127.030601501 227.25 30.5
"235" -4593 173.079147339 33.2553100586 168.431304932 227 30.5
"236" -4591.75 94.9822006226 29.8138046265 193.064849854 226.75 30.5
"237" -4641 104.158500671 29.1917858124 195.258972168 226.5 30.5
"238" -4649.125 216.024353027 36.3611564636 159.260009766 226.25 30.5
"239" -4628 84.5832824707 27.0910015106 170.878311157 226 30.5
"240" -4634.75 67.1158981323 20.397026062 224.604019165 225.75 30.5
"241" -4754 50.4085998535 20.5510444641 233.548919678 225.5 30.5
"242" -4808.5 75.2929763794 24.2222137451 197.264328003 225.25 30.5
"243" -4792 136.986038208 28.0042171478 168.435974121 225 30.5
"244" NA NA NA NA 245 30.75
"245" NA NA NA NA 244.75 30.75
"246" NA NA NA NA 244.5 30.75
"247" NA NA NA NA 244.25 30.75
"248" NA NA NA NA 244 30.75
"249" -62 118.910133362 8.21452236176 234.398635864 243.75 30.75
"250" -943.125 456.931396484 62.7908706665 245.658981323 243.5 30.75
"251" -1990.5 136.870925903 56.8723297119 232.61416626 243.25 30.75
"252" -1940 314.405639648 55.629650116 130.35736084 243 30.75
"253" -1762 209.491165161 58.7290000916 171.777511597 242.75 30.75
"254" -1800 171.357452393 44.5554771423 184.272506714 242.5 30.75
"255" -1881.25 226.952453613 44.3965530396 190.338317871 242.25 30.75
"256" -1994.625 443.242126465 62.5610084534 196.809844971 242 30.75
"257" -2503.75 216.415283203 51.6071166992 209.577423096 241.75 30.75
"258" -2726.5 193.840255737 46.4959869385 206.410598755 241.5 30.75
"259" -2934 283.3800354 58.3848075867 227.587158203 241.25 30.75
"260" -3292 324.669708252 57.9807014465 218.061599731 241 30.75
"261" -3672 396.143280029 33.3387336731 214.889587402 240.75 30.75
"262" -3737.75 105.226852417 27.8213310242 178.702575684 240.5 30.75
"263" -3807.25 91.6198348999 24.4468173981 193.008239746 240.25 30.75
"264" -3826.25 71.5380630493 21.7611427307 194.806930542 240 30.75
"265" -3897.5 44.0211181641 17.4077205658 182.831237793 239.75 30.75
"266" -3879.5 38.1305503845 17.1457748413 123.748245239 239.5 30.75
"267" -3849.5 58.299571991 17.4883136749 237.45262146 239.25 30.75
"268" -3886.5 53.4175186157 19.7991523743 236.852462769 239 30.75
"269" -3931.5 103.361602783 26.0256977081 185.885742188 238.75 30.75
"270" -4030.75 111.774757385 30.0299892426 197.625686646 238.5 30.75
"271" -4122.125 119.665512085 30.8549804688 139.294967651 238.25 30.75
"272" -4156.625 62.4833831787 30.0906829834 216.863815308 238 30.75
"273" -4161 70.0202255249 28.4518737793 177.804000854 237.75 30.75
"274" -4091.25 79.8495559692 39.9854888916 193.336395264 237.5 30.75
"275" -4125 119.238464355 43.7745094299 186.266143799 237.25 30.75
"276" -4110 138.697189331 46.6601524353 124.15473175 237 30.75
"277" -3992.25 560.604492188 50.1554336548 188.807006836 236.75 30.75
"278" -4046 89.0310668945 26.2949237823 209.854370117 236.5 30.75
"279" -4090 68.4038467407 26.0514755249 198.383010864 236.25 30.75
"280" -4168 35.9241714478 21.5987663269 189.596054077 236 30.75
"281" -4168.25 61.0454292297 21.4374485016 182.145324707 235.75 30.75
"282" -4228 82.3553009033 25.3246231079 232.179473877 235.5 30.75
"283" -4254.5 50.0927886963 24.9178180695 192.567886353 235.25 30.75
"284" -4237.125 41.137172699 19.3065223694 157.139144897 235 30.75
"285" -4207.5 50.1494827271 18.3366661072 155.233215332 234.75 30.75
"286" -4210.5 49.8500099182 17.2619171143 197.554107666 234.5 30.75
"287" -4247.5 132.695404053 17.6482658386 206.616210938 234.25 30.75
"288" -4306.75 55.1632270813 16.1337661743 214.139038086 234 30.75
"289" -4322 116.282096863 22.9487628937 208.624633789 233.75 30.75
"290" -4379 83.1129226685 26.2704296112 198.699874878 233.5 30.75
"291" -4307 112.559997559 19.9691257477 150.282363892 233.25 30.75
"292" -4255.5 54.6445732117 18.2848167419 145.070709229 233 30.75
"293" -4220.5 62.7673149109 21.5395832062 158.016494751 232.75 30.75
"294" -4227.25 102.66558075 23.0510253906 188.655166626 232.5 30.75
"295" -4262.75 173.668121338 36.2304840088 199.966644287 232.25 30.75
"296" -4332 195.868255615 39.0420532227 210.011245728 232 30.75
"297" -4417.875 69.9842987061 23.38804245 232.668395996 231.75 30.75
"298" -4439.75 35.4100761414 18.6450958252 187.49041748 231.5 30.75
"299" -4480 64.0834655762 25.5163955688 199.981033325 231.25 30.75
"300" -4524.625 90.3581695557 30.6487140656 217.57800293 231 30.75
"301" -4572 125.720848083 33.4843101501 173.788040161 230.75 30.75
"302" -4574.5 82.7734909058 30.2501869202 158.034179688 230.5 30.75
"303" -4611.25 84.631942749 32.3717765808 225.57484436 230.25 30.75
"304" -4640.375 85.5295715332 33.6079025269 180.537124634 230 30.75
"305" -4628.5 102.576637268 32.1503143311 164.793624878 229.75 30.75
"306" -4671.625 84.1988677979 27.4147624969 232.55809021 229.5 30.75
"307" -4675.25 85.1223449707 23.1756496429 172.492492676 229.25 30.75
"308" -4649 48.7689857483 21.6147041321 127.89730835 229 30.75
"309" -4618 109.839096069 26.2575511932 150.374130249 228.75 30.75
"310" -4618.25 106.766563416 35.9113616943 226.220550537 228.5 30.75
