"bathy" "longitude" "latitude"
"5715" -4157.375 236 31.5
"5716" -4127.5 236.25 31.5
"5717" -4100.5 236.5 31.5
"5718" -4108.5 236.75 31.5
"5719" -4100.5 237 31.5
"5720" -4066.25 237.25 31.5
"5721" -3968 237.5 31.5
"5722" -3993.5 237.75 31.5
"5723" -4044.875 238 31.5
"5724" -4048 238.25 31.5
"5725" -3984 238.5 31.5
"5726" -3861 238.75 31.5
"5727" -3836.25 239 31.5
"5728" -3927.125 239.25 31.5
"5729" -3947 239.5 31.5
"5730" -3949.75 239.75 31.5
"5731" -3798 240 31.5
"5732" -3732 240.25 31.5
"5733" -3656.5 240.5 31.5
"5734" -2021.25 240.75 31.5
"5735" -1300.5 241 31.5
"5736" -1296.125 241.25 31.5
"5737" -1857 241.5 31.5
"5738" -1492 241.75 31.5
"5739" -1614.5 242 31.5
"5740" -1874.5 242.25 31.5
"5741" -1476.125 242.5 31.5
"5742" -1351.25 242.75 31.5
"5743" -1202.5 243 31.5
"5744" -381 243.25 31.5
"5745" NA 243.5 31.5
"5746" NA 243.75 31.5
"5747" NA 244 31.5
"5748" NA 244.25 31.5
"5749" NA 244.5 31.5
"5750" NA 244.75 31.5
"5751" NA 245 31.5
"5590" -4828.25 225 31.75
"5591" -4737.5 225.25 31.75
"5592" -4683 225.5 31.75
"5593" -4661 225.75 31.75
"5594" -4671.5 226 31.75
"5595" -4672.125 226.25 31.75
"5596" -4641 226.5 31.75
"5597" -4709 226.75 31.75
"5598" -4694.125 227 31.75
"5599" -4651 227.25 31.75
"5600" -4591 227.5 31.75
"5601" -4547.25 227.75 31.75
"5602" -4564 228 31.75
"5603" -4559 228.25 31.75
"5604" -4548 228.5 31.75
"5605" -4544.5 228.75 31.75
"5606" -4561 229 31.75
"5607" -4611.25 229.25 31.75
"5608" -4590.25 229.5 31.75
"5609" -4586.875 229.75 31.75
"5610" -4558.25 230 31.75
"5611" -4500 230.25 31.75
"5612" -4453.5 230.5 31.75
"5613" -4426 230.75 31.75
"5614" -4380 231 31.75
"5615" -4359.75 231.25 31.75
"5616" -4333 231.5 31.75
"5617" -4333.5 231.75 31.75
"5618" -4342 232 31.75
"5619" -4363.5 232.25 31.75
"5620" -4394 232.5 31.75
"5621" -4371.5 232.75 31.75
"5622" -4302.875 233 31.75
