"lat","lon","sst","bathy","bathyrms","slope","aspect","chl","uy10","wekm","eke","sshd"
30,239.75,16.3135719299,-3370,484.707824707,150.124710083,211.48651123,0.176374986768,-4.91515302658,-2.75503657576e-06,0.000187320966775176,-0.0360440015793
30,240,16.3670005798,-3751.5,417.986083984,107.094772339,180.409408569,0.165000006557,-4.97839689255,1.26228997033e-06,0.00041012395334256,-0.0177264995873
30,240.25,16.5435714722,-3768.375,112.012329102,35.5486450195,234.422729492,0.147375002503,-5.13589525223,-7.63604717235e-08,0.00041012395334256,-0.0177264995873
30,240.5,16.6421413422,-3727,107.228843689,30.6829490662,215.722686768,0.132777780294,-4.1711268425,1.90304319858e-06,0.00281845055472753,0.017909899354
30,240.75,16.6518745422,-3688.25,62.9432373047,30.7467498779,169.372039795,0.130500003695,-4.53243303299,-1.07688561002e-06,0.00281845055472753,0.017909899354
30,241,16.6762504578,-3609.75,101.9324646,22.5380630493,247.475830078,0.133699983358,-4.22968053818,1.0466956013e-07,0.00573608163441818,0.0343778990209
30,241.25,16.5699996948,-3573,40.5321769714,14.2478380203,234.059860229,0.146666675806,-4.25376367569,3.40639189744e-07,0.00573608163441818,0.0343778990209
30,241.5,15.9521427155,-3483,79.7770767212,27.620929718,217.897735596,0.226916670799,-4.46276521683,-1.14292777198e-06,0.0083273702879442,0.018642200157
30,241.75,15.843000412,-3236.5,116.931106567,52.2076339722,208.888275146,0.232000008225,-4.58756923676,-5.58190720312e-07,0.0083273702879442,0.018642200157
30,242,16.1516666412,-3225.875,128.780838013,28.311630249,171.391265869,0.229099988937,-4.23378610611,-7.08774280156e-07,0.00523724703602379,-0.0213957000524
30,242.25,16.3524990082,-3123.5,317.053100586,57.7245597839,230.489822388,0.328181803226,-4.04382181168,-1.16617832191e-06,0.00523724703602379,-0.0213957000524
30,242.5,16.4260005951,-2183,549.592834473,143.18572998,229.052871704,0.364099979401,-3.89001321793,-1.41940847698e-06,0.000540194316208741,-0.0544444993138
30,242.75,16.602142334,-2133,222.864593506,104.502456665,224.175750732,0.374333322048,-3.63574695587,-2.13840803553e-06,0.000540194316208741,-0.0544444993138
30,243,16.5491657257,-2413.75,436.97442627,97.0525512695,203.675872803,0.308545470238,-3.84206366539,-1.90360162833e-06,0.000191908082088527,-0.0404072999954
30,243.25,16.8114280701,-2731,265.691955566,46.6520042419,172.068557739,0.249125003815,-3.81509423256,-1.90360162833e-06,0.000191908082088527,-0.0404072999954
30,243.5,17.0258350372,-2301.5,463.812957764,64.0392150879,201.404968262,0.213857144117,-3.44807934761,-2.64598526201e-07,0.000757302750795364,0.00972026959062
30,243.75,17.1299991608,-1705,373.441772461,93.6460266113,239.276809692,0.233125001192,-3.26039195061,7.93583808445e-07,0.000757302750795364,0.00972026959062
30,244,16.8959102631,-143.5,310.613800049,33.0495986938,258.74822998,0.511733293533,-4.09846830368,1.15475768325e-06,0.00188461071717114,0.0396028012037
30,244.25,16.6199989319,NA,NA,NA,NA,1.39306735992,NA,NA,0.00188461071717114,0.0396028012037
30,244.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0341029986739
30,244.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0341029986739
30,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0265311002731
30.25,225,18.8183345795,-4845.25,94.5832061768,45.7009811401,155.357391357,0.0802857130766,-3.01851415634,-1.64079790466e-06,0.00178008412917068,0.0424523986876
30.25,225.25,18.7820854187,-4825.75,189.851150513,36.7454071045,187.28276062,0.0795000046492,-3.62791728973,8.15173052615e-07,0.00178008412917068,0.0424523986876
30.25,225.5,18.8349990845,-4740.625,101.015899658,24.1709442139,209.895294189,0.0777142867446,-3.14995336533,-3.07240361508e-06,0.00389729668030959,0.036233201623
30.25,225.75,18.8899993896,-4662,80.7125167847,25.6339092255,193.932006836,0.0789999961853,-3.69183301926,-1.5770592654e-06,0.00389729668030959,0.036233201623
30.25,226,18.8449993134,-4623.75,121.151725769,31.4598350525,158.64465332,0.0792222172022,-3.58794474602,-1.109943355e-06,0.0031602977051788,0.0443486012518
30.25,226.25,18.84375,-4637.25,107.141403198,30.3231468201,161.731002808,0.0782500058413,-3.57489848137,-1.24283906189e-06,0.0031602977051788,0.0443486012518
30.25,226.5,18.8950004578,-4649.25,97.060043335,28.523267746,187.5572052,0.0764999985695,-3.49071621895,-2.21171831072e-06,0.00167389314171151,0.0459847003222
30.25,226.75,18.7950000763,-4551,96.4478759766,30.7250595093,224.689376831,0.0794999971986,-3.3005926609,-2.21171831072e-06,0.00167389314171151,0.0459847003222
30.25,227,18.7700004578,-4502.25,100.42073822,27.9177932739,171.478546143,0.0802000015974,-3.31512141228,-1.76669379925e-06,0.000532801610173099,0.0457074008882
30.25,227.25,18.6350002289,-4572.5,85.313911438,27.5114078522,124.480102539,0.0781833380461,-3.62684702873,-2.80388053397e-06,0.000532801610173099,0.0457074008882
30.25,227.5,17.7350006104,-4711,87.6958312988,21.868057251,117.117851257,0.0802000015974,-3.85487914085,-3.30218176714e-06,5.44516443808726e-05,0.0429676994681
30.25,227.75,17.6525001526,-4719,88.000289917,19.3355503082,205.566452026,0.083599999547,-3.90914773941,2.1787921014e-06,5.44516443808726e-05,0.0429676994681
30.25,228,17.6049995422,-4619.25,78.3243255615,26.9035606384,228.447463989,0.0872857198119,-3.57427620888,-1.73440173512e-06,0.000224022709842415,0.0324602983892
30.25,228.25,17.671667099,-4567.5,114.745986938,26.1985015869,213.197250366,0.0907500013709,-4.2955031395,1.71320732534e-06,0.000224022709842415,0.0324602983892
30.25,228.5,17.5941677094,-4545,93.9850692749,30.7406024933,160.782073975,0.0916666686535,-3.58148121834,6.70771783007e-07,0.00109208170665666,0.0226096007973
30.25,228.75,17.5066661835,-4578,83.1605300903,39.8403091431,165.915237427,0.0933749973774,-3.48471093178,-4.00992291816e-07,0.00109208170665666,0.0226096007973
30.25,229,17.3950004578,-4598.5,104.287277222,44.4027633667,171.959472656,0.093666665256,-3.7282397747,-2.24043856178e-06,0.00175670247621358,0.00755222002044
30.25,229.25,17.5316677094,-4653.25,212.449325562,46.10987854,166.811401367,0.0922499895096,-3.87629580498,-2.00523300009e-06,0.00175670247621358,0.00755222002044
30.25,229.5,17.6541671753,-4622,284.295959473,46.5904846191,195.821563721,0.0912500023842,-3.66770529747,-2.59515536527e-06,0.0022332632423427,-0.0107441004366
30.25,229.75,17.6149997711,-4567.25,244.485519409,57.1221466064,164.70803833,0.0913333296776,-4.20840263367,-3.22589244206e-06,0.0022332632423427,-0.0107441004366
30.25,230,17.515832901,-4566,271.926757812,60.060798645,158.660369873,0.0906666591763,-4.08183002472,-9.78729417511e-07,0.00372667167718041,-0.00640984997153
30.25,230.25,17.4349994659,-4626.125,195.981613159,36.0403671265,203.981063843,0.0910000056028,-4.48471021652,-4.78085269151e-07,0.00372667167718041,-0.00640984997153
30.25,230.5,17.3950004578,-4609.5,166.786590576,32.834400177,194.571777344,0.0949999913573,-4.84267091751,-1.87335365354e-06,0.00455365836930885,0.00922533031553
30.25,230.75,17.3299999237,-4559,91.5251083374,29.3332920074,177.033935547,0.0956249982119,-4.51854515076,2.25146408184e-08,0.00455365836930885,0.00922533031553
30.25,231,17.2900009155,-4527.75,89.6072463989,29.58385849,197.787261963,0.0952000021935,-4.38899993896,-1.30520345465e-06,0.00333385979735137,0.0172565001994
30.25,231.25,17.3375015259,-4494,150.377639771,32.3454208374,196.008483887,0.09620000422,-4.44738817215,-4.33189683235e-07,0.00333385979735137,0.0172565001994
30.25,231.5,17.3312492371,-4508.5,78.6067199707,26.7106609344,173.552398682,0.0978999957442,-4.5581946373,-1.67344296642e-07,0.00286699267106516,0.0181453004479
30.25,231.75,17.1280002594,-4500,105.132156372,27.5283660889,197.928024292,0.101000003517,-4.75607872009,-2.93699258691e-07,0.00286699267106516,0.0181453004479
30.25,232,16.9825000763,-4452.75,109.237121582,25.6709842682,214.577590942,0.100800000131,-4.65648651123,-5.73720228658e-07,0.00337833806098207,0.0182105991989
30.25,232.25,17.03125,-4359.5,88.8930587769,27.8951206207,204.161178589,0.09620000422,-4.79443407059,-1.10195617253e-06,0.00337833806098207,0.0182105991989
30.25,232.5,17.0450000763,-4339,82.8604202271,30.1374206543,158.257843018,0.0982222184539,-4.8477268219,-1.3827246903e-06,0.00526581056579383,-0.00729343015701
30.25,232.75,16.9750003815,-4348,96.4436416626,29.9743347168,178.057678223,0.10888889432,-4.93775939941,-8.52285381825e-07,0.00526581056579383,-0.00729343015701
30.25,233,16.6933326721,-4315,123.108016968,30.4456119537,161.401855469,0.125,-4.86009407043,-8.52285381825e-07,0.00662444999599348,-0.0622521005571
30.25,233.25,16.5897922516,-4355.5,199.180374146,28.778137207,172.099975586,0.13275000453,-4.85373497009,-2.01312082027e-06,0.00662444999599348,-0.0622521005571
30.25,233.5,16.6175003052,-4368.25,218.459564209,24.419216156,185.290161133,0.129299998283,-5.26562452316,-2.85616351903e-06,0.00173836340996795,-0.103280998766
30.25,233.75,16.6335411072,-4370,183.628112793,33.1285476685,184.529052734,0.128444433212,-5.52830696106,-3.2331724924e-06,0.00173836340996795,-0.103280998766
30.25,234,16.7066669464,-4407.75,465.432434082,42.1925125122,191.647247314,0.127285718918,-5.63885831833,-3.17785611514e-06,0.0002500192706594,-0.0917683020234
30.25,234.25,16.8159980774,-4273.625,381.950958252,60.5944061279,207.781311035,0.123615391552,-5.53961706161,-2.02840692509e-06,0.0002500192706594,-0.0917683020234
30.25,234.5,16.7199993134,-4216,219.23890686,59.1809425354,177.97328186,0.116875000298,-5.70677423477,-4.53313674598e-07,0.000491809574029993,-0.0422337986529
30.25,234.75,16.7449989319,-4197.375,180.31010437,43.5580253601,164.765304565,0.117166660726,-5.48756742477,-1.06858328763e-06,0.000491809574029993,-0.0422337986529
30.25,235,16.7749996185,-4289.125,111.428482056,29.7147865295,160.561676025,0.117833338678,-5.59324645996,-9.21529135667e-07,0.00204720574107784,-0.00418878020719
30.25,235.25,16.8400001526,-4332.25,66.7535476685,28.5990486145,173.535568237,0.117599986494,-5.48709821701,-2.08846790883e-06,0.00204720574107784,-0.00418878020719
30.25,235.5,16.9978580475,-4329.75,477.595672607,43.5418930054,186.81703186,0.118909090757,-5.47034502029,-9.77646550382e-07,0.00117950854597309,0.0124262999743
